Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-1.606234473,-0.713463218,2.235650291,1.445058896,-1.304337267,-0.620998502,2.270168197,1.395251797,13.39241
-3.93948656,-1.974142813,5.761728492,3.312571471,-4.728794113,-2.47013523,6.593545142,3.767519673,25.44654
-2.696591336,-1.420954465,4.147138348,2.518357602,-2.74370594,-1.549956074,4.290605812,2.580142449,18.23364
-2.007837941,-1.056611027,3.190064861,1.946773471,-1.772365039,-0.954492051,3.139284148,1.981460149,13.32021
0.534643124,0.488639324,-1.073453,-0.378293644,0.143000078,0.099833376,0.143000078,0.099833376,0
-3.217583498,-1.535589508,4.327194176,2.66927514,-3.430916232,-1.683998537,4.318252059,2.719028849,24.18611
-3.432510174,-1.795564922,5.173335023,3.060036653,-3.046351679,-2.127393625,6.360788491,3.062700266,24.03791
-3.469275043,-1.748797905,5.108778588,2.978795853,-3.782068407,-2.100580256,5.705488853,3.247563709,24.30842
-2.304665111,-0.959195398,2.650781327,1.753784709,-2.311551764,-0.910553843,2.466606225,1.654946648,19.43581
-2.547581107,-1.329920044,3.959656345,2.396042645,-2.659349347,-1.349374686,3.968169028,2.590146596,17.49921
-0.463881093,-0.179493676,1.185409894,0.698187303,0.142577037,0.103229627,0.142577037,0.103229627,0
-2.246216482,-1.085686443,3.109552395,1.971308821,-2.808202496,-1.060060237,2.450832122,2.265491214,16.10302
0.598842483,0.449029231,-0.853974835,-0.25224731,0.127586446,0.095037144,0.127586446,0.095037144,0
-2.637770767,-1.199220611,3.141553301,2.127136058,-2.438659757,-1.058594727,2.660204683,1.776246294,22.73407
-2.387078172,-1.149293192,3.272984272,2.045761445,-2.469591393,-1.15389595,2.701417967,2.172459786,18.88594
-3.26279707,-1.524788236,4.222286077,2.587373122,-3.112477779,-1.472645632,3.989867021,2.320060773,25.53824
-2.583299895,-1.14370566,3.319998289,2.031771048,-2.786625233,-1.148046514,3.095289809,2.034159616,19.09234
-2.351087722,-1.014644273,2.667981948,1.853715806,-2.397612616,-0.890677931,1.959900247,1.733722478,21.28651
-1.844368704,-0.828851661,2.23278719,1.542283357,-1.743081651,-0.747038748,2.616716148,1.541003673,16.26324
-2.327604793,-1.182805963,3.820464666,2.229227866,-2.185265562,-1.052966929,3.900916514,2.212976289,13.81399
-2.677918115,-1.183149719,3.403244266,2.149121359,-2.902215111,-1.100417968,3.236954642,2.12243737,21.07754
-1.611453651,-0.743010331,2.417392315,1.520803267,-1.680830033,-0.730899505,2.269108876,1.489252587,13.44842
-1.914880389,-0.806725696,2.280596069,1.522266071,-1.848840317,-0.700009427,2.040008982,1.520518454,17.49638
-2.511072364,-1.112569145,3.038608666,1.965449211,-2.29223075,-0.95911735,2.547720474,1.76780393,21.84453
-3.660921456,-1.831610283,5.27866489,3.089037558,-4.082563423,-2.229729123,5.896946785,3.352730353,23.90781
0.08699115,0.071352395,0.496652068,0.356215828,0.166320722,0.132056351,0.166320722,0.132056351,0
-2.238973263,-1.17317894,3.632821531,2.135748065,-2.191672154,-1.043475627,3.525913952,2.068811881,13.72082
-2.916953013,-1.345995556,3.430051321,2.308571317,-2.220475826,-1.169809359,2.378041452,1.879615943,25.71876
-0.20435448,-0.028300672,0.833397444,0.468104881,0.143882677,0.108440692,0.143882677,0.108440692,0
-1.300231133,-0.430589302,1.40156555,0.993792942,-1.231619401,-0.409107077,1.580652565,0.993389116,12.05251
-2.667493401,-1.105556611,2.800972079,1.978115291,-2.689930366,-0.818132818,1.746676823,1.656921237,23.55113
-2.462177591,-1.07132833,2.928796759,1.907579548,-2.743621588,-0.961924432,2.542529365,2.205198438,18.53474
-2.764486157,-1.383895306,4.201881638,2.472348764,-3.087500861,-1.39653536,4.338504765,2.661089381,18.88356
-2.357419943,-1.182618058,3.604534224,2.173284536,-2.578937851,-1.206257131,3.727591169,2.293847871,17.82759
