Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-1.501877674,-0.600297248,2.21532109,1.460276038,-1.304337267,-0.620998502,2.270168197,1.395251797,13.39241
-4.577981072,-2.400916646,6.319577904,3.676508186,-4.728794113,-2.47013523,6.593545142,3.767519673,25.44654
-2.804571162,-1.509871939,4.603523307,2.677725911,-2.74370594,-1.549956074,4.290605812,2.580142449,18.23364
-2.185044702,-0.927221701,3.092398787,2.158230523,-1.772365039,-0.954492051,3.139284148,1.981460149,13.32021
0.13697481,0.101246347,0.13697481,0.101246347,0.143000078,0.099833376,0.143000078,0.099833376,0
-3.374285241,-1.634963589,4.34303213,2.638648816,-3.430916232,-1.683998537,4.318252059,2.719028849,24.18611
-3.094171099,-2.181393728,6.462073209,3.214127099,-3.046351679,-2.127393625,6.360788491,3.062700266,24.03791
-3.546326107,-1.977220751,5.589208914,3.07197007,-3.782068407,-2.100580256,5.705488853,3.247563709,24.30842
-2.147255602,-0.874562863,2.285859305,1.615165912,-2.311551764,-0.910553843,2.466606225,1.654946648,19.43581
-2.653418673,-1.428069917,4.343943931,2.546662813,-2.659349347,-1.349374686,3.968169028,2.590146596,17.49921
0.224491091,0.172692172,0.224491091,0.172692172,0.142577037,0.103229627,0.142577037,0.103229627,0
-2.435193086,-1.076013293,3.216979027,2.083815572,-2.808202496,-1.060060237,2.450832122,2.265491214,16.10302
0.144923053,0.111234427,0.144923053,0.111234427,0.127586446,0.095037144,0.127586446,0.095037144,0
-2.531352955,-1.105124703,2.679891693,1.932518171,-2.438659757,-1.058594727,2.660204683,1.776246294,22.73407
-2.429679305,-1.131151867,3.247144049,2.106173235,-2.469591393,-1.15389595,2.701417967,2.172459786,18.88594
-3.144948529,-1.501510045,3.728302038,2.325543592,-3.112477779,-1.472645632,3.989867021,2.320060773,25.53824
-2.706203611,-1.111026178,2.972158794,2.110561371,-2.786625233,-1.148046514,3.095289809,2.034159616,19.09234
-2.113045628,-0.825150844,2.080404831,1.541019161,-2.397612616,-0.890677931,1.959900247,1.733722478,21.28651
-1.656625844,-0.700211305,2.120440366,1.520282524,-1.743081651,-0.747038748,2.616716148,1.541003673,16.26324
-2.353500838,-0.98726392,3.401930283,2.261190559,-2.185265562,-1.052966929,3.900916514,2.212976289,13.81399
-2.819621674,-1.247042795,3.084801496,2.084708663,-2.902215111,-1.100417968,3.236954642,2.12243737,21.07754
-1.701589806,-0.654987124,2.293103843,1.651583949,-1.680830033,-0.730899505,2.269108876,1.489252587,13.44842
-2.010458579,-0.705022308,1.653824558,1.533003356,-1.848840317,-0.700009427,2.040008982,1.520518454,17.49638
-2.458969937,-0.95935343,2.293160118,1.824000068,-2.29223075,-0.95911735,2.547720474,1.76780393,21.84453
-4.273521582,-2.15958626,6.047831559,3.527826322,-4.082563423,-2.229729123,5.896946785,3.352730353,23.90781
0.105631327,0.075221648,0.105631328,0.075221648,0.166320722,0.132056351,0.166320722,0.132056351,0
