Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-1.538226884,-0.629440286,2.238449774,1.458905149,-1.304337267,-0.620998502,2.270168197,1.395251797,13.39241
-4.428207284,-2.297262717,6.127048753,3.579393081,-4.728794113,-2.47013523,6.593545142,3.767519673,25.44654
-2.841066463,-1.504691615,4.600794556,2.682191976,-2.74370594,-1.549956074,4.290605812,2.580142449,18.23364
-2.248381079,-0.908922342,3.115476939,2.191383826,-1.772365039,-0.954492051,3.139284148,1.981460149,13.32021
0.162512993,0.117083642,0.162512993,0.117083642,0.143000078,0.099833376,0.143000078,0.099833376,0
-3.191877986,-1.64968645,4.435459539,2.596976137,-3.430916232,-1.683998537,4.318252059,2.719028849,24.18611
-3.199148232,-2.150564131,6.465854201,3.270531747,-3.046351679,-2.127393625,6.360788491,3.062700266,24.03791
-3.551424193,-1.956094001,5.438128164,3.047167075,-3.782068407,-2.100580256,5.705488853,3.247563709,24.30842
-2.24767097,-0.904067631,2.269249147,1.696648405,-2.311551764,-0.910553843,2.466606225,1.654946648,19.43581
-2.70329647,-1.404372778,4.386273067,2.582985019,-2.659349347,-1.349374686,3.968169028,2.590146596,17.49921
0.152292324,0.112239102,0.152292324,0.112239102,0.142577037,0.103229627,0.142577037,0.103229627,0
-2.446227514,-1.077658134,3.135218119,2.081713459,-2.808202496,-1.060060237,2.450832122,2.265491214,16.10302
0.113026681,0.083583307,0.113026681,0.083583307,0.127586446,0.095037144,0.127586446,0.095037144,0
-2.49282439,-1.113767881,2.765218755,1.88446954,-2.438659757,-1.058594727,2.660204683,1.776246294,22.73407
-2.487115224,-1.119460894,3.075242915,2.042247008,-2.469591393,-1.15389595,2.701417967,2.172459786,18.88594
-2.873038828,-1.445709513,3.794305365,2.279844447,-3.112477779,-1.472645632,3.989867021,2.320060773,25.53824
-2.529806563,-1.110561005,3.081893401,2.054604493,-2.786625233,-1.148046514,3.095289809,2.034159616,19.09234
-2.145307146,-0.843734686,2.04108182,1.571880918,-2.397612616,-0.890677931,1.959900247,1.733722478,21.28651
-1.802192533,-0.751050096,2.192575782,1.522684427,-1.743081651,-0.747038748,2.616716148,1.541003673,16.26324
-2.31109382,-0.99241218,3.590153096,2.303769051,-2.185265562,-1.052966929,3.900916514,2.212976289,13.81399
-2.795528525,-1.218445644,3.162399306,2.174054393,-2.902215111,-1.100417968,3.236954642,2.12243737,21.07754
-1.814186374,-0.66648189,2.296779189,1.645875539,-1.680830033,-0.730899505,2.269108876,1.489252587,13.44842
-1.765634189,-0.686063768,1.906290115,1.393308697,-1.848840317,-0.700009427,2.040008982,1.520518454,17.49638
-2.348167142,-0.998191575,2.488520985,1.754442394,-2.29223075,-0.95911735,2.547720474,1.76780393,21.84453
-4.39631243,-2.274070664,6.018848608,3.526733933,-4.082563423,-2.229729123,5.896946785,3.352730353,23.90781
0.175336389,0.136602377,0.17533639,0.136602377,0.166320722,0.132056351,0.166320722,0.132056351,0
-2.346422884,-0.99073279,3.430639516,2.270863028,-2.191672154,-1.043475627,3.525913952,2.068811881,13.72082
-2.389999346,-0.947523767,2.169508694,1.681251684,-2.220475826,-1.169809359,2.378041452,1.879615943,25.71876
0.134235069,0.098455834,0.134235069,0.098455834,0.143882677,0.108440692,0.143882677,0.108440692,0
-1.246294695,-0.387881353,1.441706608,1.068510423,-1.231619401,-0.409107077,1.580652565,0.993389116,12.05251
-2.304142856,-0.881419583,2.240535656,1.619465059,-2.689930366,-0.818132818,1.746676823,1.656921237,23.55113
-2.343212054,-1.005311668,2.797539612,1.945362684,-2.743621588,-0.961924432,2.542529365,2.205198438,18.53474
-3.023048135,-1.487670538,4.347619916,2.675487677,-3.087500861,-1.39653536,4.338504765,2.661089381,18.88356
-2.462799036,-1.138117016,3.396221771,2.19183392,-2.578937851,-1.206257131,3.727591169,2.293847871,17.82759
0.169981658,0.126786419,0.169981658,0.126786419,0.21024926,0.164248292,0.21024926,0.164248292,0
0.164274972,0.127374037,0.164274972,0.127374037,0.143398357,0.112774627,0.143398357,0.112774627,0
-1.887340582,-0.83639183,3.052663127,1.89691509,-1.872171173,-0.836105625,2.84253575,1.691079501,12.64504
-2.268381066,-1.044536547,3.138825079,1.964210095,-2.195066107,-1.01296329,2.910498461,1.894658593,16.47091
-2.539115536,-1.131743518,3.269020285,2.148307346,-2.684941768,-1.112130757,3.256342192,2.120226452,18.76528
-3.319955731,-2.128529795,6.263010079,3.260954096,-3.747533526,-2.162403826,5.732388566,3.363238697,23.9022
-3.0352693,-1.475920341,4.260396227,2.633726656,-3.047271896,-1.550773118,4.448299199,2.680715405,19.27734
0.122956906,0.087019253,0.122956906,0.087019253,0.112375962,0.082908635,0.112375962,0.082908635,0
-2.920661735,-1.578618921,4.412679099,2.491362184,-2.902706387,-1.553363457,4.211295492,2.416508808,22.1605
