Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-1.436264123,-0.673598846,2.341474009,1.306020434,-1.304337267,-0.620998502,2.270168197,1.395251797,13.39241
-4.048108668,-2.011724362,5.860611482,3.427475425,-4.728794113,-2.47013523,6.593545142,3.767519673,25.44654
-2.665189527,-1.391979818,4.041946651,2.526969871,-2.74370594,-1.549956074,4.290605812,2.580142449,18.23364
-1.939382959,-1.037339791,3.240879345,1.981094138,-1.772365039,-0.954492051,3.139284148,1.981460149,13.32021
0.555948184,0.505102217,-0.981514264,-0.367071349,0.143000078,0.099833376,0.143000078,0.099833376,0
-3.321397445,-1.560379633,4.430559418,2.812026957,-3.430916232,-1.683998537,4.318252059,2.719028849,24.18611
-3.35932683,-1.783058979,5.112473623,3.031142419,-3.046351679,-2.127393625,6.360788491,3.062700266,24.03791
-3.52759883,-1.770353787,5.142341806,3.08005932,-3.782068407,-2.100580256,5.705488853,3.247563709,24.30842
-2.462273789,-1.016952472,2.712094227,1.890514153,-2.311551764,-0.910553843,2.466606225,1.654946648,19.43581
-2.45964113,-1.298493573,3.916126085,2.350814887,-2.659349347,-1.349374686,3.968169028,2.590146596,17.49921
-0.479214972,-0.15452647,1.31545584,0.739744404,0.142577037,0.103229627,0.142577037,0.103229627,0
-2.315439312,-1.111155324,3.012484623,2.027456202,-2.808202496,-1.060060237,2.450832122,2.265491214,16.10302
0.762955976,0.473872677,-0.830931987,-0.383191928,0.127586446,0.095037144,0.127586446,0.095037144,0
-2.599882797,-1.179851408,3.116863671,2.089873833,-2.438659757,-1.058594727,2.660204683,1.776246294,22.73407
-2.445906494,-1.166412433,3.200483271,2.137128696,-2.469591393,-1.15389595,2.701417967,2.172459786,18.88594
-3.227279318,-1.517520403,4.385274344,2.596148406,-3.112477779,-1.472645632,3.989867021,2.320060773,25.53824
-2.756477472,-1.171307332,3.226177956,2.114354601,-2.786625233,-1.148046514,3.095289809,2.034159616,19.09234
-2.576023447,-1.060998425,2.507144618,2.045186078,-2.397612616,-0.890677931,1.959900247,1.733722478,21.28651
-1.668128882,-0.83355873,2.250287934,1.377493809,-1.743081651,-0.747038748,2.616716148,1.541003673,16.26324
-2.246930605,-1.161457381,3.863203796,2.130038263,-2.185265562,-1.052966929,3.900916514,2.212976289,13.81399
-2.86272409,-1.184785363,3.4113843,2.306311968,-2.902215111,-1.100417968,3.236954642,2.12243737,21.07754
-1.566105632,-0.738556126,2.321141682,1.455457246,-1.680830033,-0.730899505,2.269108876,1.489252587,13.44842
-1.898771881,-0.808322696,2.180046148,1.460148829,-1.848840317,-0.700009427,2.040008982,1.520518454,17.49638
-2.502952853,-1.120148744,2.942589603,1.910468668,-2.29223075,-0.95911735,2.547720474,1.76780393,21.84453
-3.733545844,-1.862932061,5.283773967,3.137531013,-4.082563423,-2.229729123,5.896946785,3.352730353,23.90781
0.026689844,0.111867201,0.442133641,0.500603501,0.166320722,0.132056351,0.166320722,0.132056351,0
-2.003691443,-1.167104706,3.657939529,1.898161873,-2.191672154,-1.043475627,3.525913952,2.068811881,13.72082
-2.945497689,-1.379789629,3.359666319,2.348627027,-2.220475826,-1.169809359,2.378041452,1.879615943,25.71876
-0.194033373,0.016248287,0.776893768,0.427514201,0.143882677,0.108440692,0.143882677,0.108440692,0
-1.280242777,-0.453111543,1.449455829,0.895486787,-1.231619401,-0.409107077,1.580652565,0.993389116,12.05251
-2.811088605,-1.104381074,2.89832148,2.124628065,-2.689930366,-0.818132818,1.746676823,1.656921237,23.55113
-2.71509171,-1.081572059,2.934752884,2.150279125,-2.743621588,-0.961924432,2.542529365,2.205198438,18.53474
-2.798768309,-1.343008672,4.235508364,2.555536215,-3.087500861,-1.39653536,4.338504765,2.661089381,18.88356
-2.450476458,-1.166632146,3.568592498,2.346932965,-2.578937851,-1.206257131,3.727591169,2.293847871,17.82759
-0.347468011,-0.061626337,1.142040387,0.745295904,0.21024926,0.164248292,0.21024926,0.164248292,0
0.266934395,0.302369139,-0.698232568,0.021164276,0.143398357,0.112774627,0.143398357,0.112774627,0
-1.963858697,-0.959751994,3.05491282,1.656078516,-1.872171173,-0.836105625,2.84253575,1.691079501,12.64504
-1.956721895,-0.995392103,3.166869986,1.916932244,-2.195066107,-1.01296329,2.910498461,1.894658593,16.47091
-2.498004209,-1.127929717,3.438223159,2.162717535,-2.684941768,-1.112130757,3.256342192,2.120226452,18.76528
-3.548072629,-1.797234569,5.212837919,3.192354262,-3.747533526,-2.162403826,5.732388566,3.363238697,23.9022
-2.828523866,-1.409551655,4.260031599,2.559011257,-3.047271896,-1.550773118,4.448299199,2.680715405,19.27734
-0.346214473,-0.181066319,1.032655556,0.632621035,0.112375962,0.082908635,0.112375962,0.082908635,0
-2.880167201,-1.44488236,4.043560186,2.484879033,-2.902706387,-1.553363457,4.211295492,2.416508808,22.1605
-2.249330021,-0.898323319,2.352640411,1.754858961,-2.084051093,-0.772835649,1.993565226,1.661811371,18.59519
-3.398471071,-1.625741978,4.635677188,2.872465872,-3.730235438,-1.891694642,5.056051861,3.006602257,22.78467
